Assessment_Text,Endoscopy,Colonoscopy,Lumbar_puncture,MRI,PET,XRAY
An X-ray was performed to examine the patient's potential rib fracture.,0,0,0,0,0,1
The patient underwent an endoscopy to evaluate their Barrett's esophagus.,1,0,0,0,0,0
A colonoscopy was conducted to investigate the patient's diverticulosis.,0,1,0,0,0,0
The patient's vision problems led to a lumbar puncture recommendation.,0,0,1,0,0,0
An MRI was conducted to investigate the patient's back pain.,0,0,0,1,0,0
A PET scan was performed to evaluate the patient's lymphoma treatment response.,0,0,0,0,1,0
An X-ray was taken to assess the patient's suspected fractured wrist.,0,0,0,0,0,1
An endoscopy was recommended to determine the cause of the patient's gastrointestinal bleeding.,1,0,0,0,0,0
A colonoscopy was conducted to assess the patient's polyps.,0,1,0,0,0,0
The patient's severe headache led to a lumbar puncture recommendation.,0,0,1,0,0,0
An MRI was ordered to assess the patient's suspected spinal cord injury.,0,0,0,1,0,0
The patient underwent an endoscopy to evaluate their suspected gastric ulcer.,1,0,0,0,0,0
The physician recommended a colonoscopy for the patient with a family history of colon polyps.,0,1,0,0,0,0
A colonoscopy was conducted to monitor the patient's Crohn's disease.,0,1,0,0,0,0
The patient required a lumbar puncture to test for possible meningococcal disease.,0,0,1,0,0,0
A lumbar puncture was performed to diagnose the patient's neurosyphilis.,0,0,1,0,0,0
An MRI was ordered to investigate the patient's potential spinal cord tumor.,0,0,0,1,0,0
The patient underwent an MRI to assess their suspected rotator cuff tear.,0,0,0,1,0,0
A PET scan was conducted to monitor the patient's lymphoma recurrence.,0,0,0,0,1,0
The physician ordered a PET scan to evaluate the patient's lung nodules.,0,0,0,0,1,0
An X-ray was taken to evaluate the patient's potential stress fracture.,0,0,0,0,0,1
The patient required an X-ray to check for a possible hip fracture.,0,0,0,0,0,1
An endoscopy was recommended to examine the patient's suspected stomach cancer.,1,0,0,0,0,0
The patient's weight loss led to a colonoscopy recommendation.,0,1,0,0,0,0
A lumbar puncture was performed to investigate the patient's suspected subarachnoid hemorrhage.,0,0,1,0,0,0
An MRI was ordered to assess the patient's suspected brain tumor.,0,0,0,1,0,0
The doctor recommended a PET scan to determine the patient's response to chemotherapy.,0,0,0,0,1,0
An X-ray was performed to examine the patient's potential rib fracture.,0,0,0,0,0,1
The patient underwent an endoscopy to evaluate their suspected esophageal cancer.,1,0,0,0,0,0
A colonoscopy was conducted to investigate the patient's suspected colon cancer.,0,1,0,0,0,0
The patient's severe back pain led to a lumbar puncture recommendation.,0,0,1,0,0,0
An MRI was conducted to investigate the patient's knee injury.,0,0,0,1,0,0
A PET scan was performed to evaluate the patient's suspected lymphoma.,0,0,0,0,1,0
An X-ray was taken to assess the patient's potential ankle fracture.,0,0,0,0,0,1
An endoscopy was recommended to determine the cause of the patient's abdominal pain.,1,0,0,0,0,0
A colonoscopy was conducted to assess the patient's ulcerative colitis.,0,1,0,0,0,0
The patient's change in mental status led to a lumbar puncture recommendation.,0,0,1,0,0,0
An MRI was ordered to investigate the patient's suspected brain aneurysm.,0,0,0,1,0,0
A PET scan was conducted to monitor the patient's thyroid cancer progression.,0,0,0,0,1,0
An X-ray was taken to evaluate the patient's potential rib fracture.,0,0,0,0,0,1
The patient underwent an endoscopy to evaluate their suspected hiatal hernia.,1,0,0,0,0,0
A colonoscopy was conducted to investigate the patient's rectal bleeding.,0,1,0,0,0,0
The patient required a lumbar puncture to test for possible encephalitis.,0,0,1,0,0,0
An MRI was ordered to assess the patient's suspected brain tumor.,0,0,0,1,0,0
The doctor recommended a PET scan to determine the patient's cancer metastasis.,0,0,0,0,1,0
An X-ray was performed to examine the patient's potential ankle fracture.,0,0,0,0,0,1
The patient underwent an endoscopy to evaluate their suspected gastritis.,1,0,0,0,0,0
A colonoscopy was recommended to assess the patient's rectal polyps.,0,1,0,0,0,0
The patient's headache led to a lumbar puncture recommendation.,0,0,1,0,0,0
An MRI was conducted to investigate the patient's neck pain.,0,0,0,1,0,0
A PET scan was performed to evaluate the patient's breast cancer treatment response.,0,0,0,0,1,0
An X-ray was taken to assess the patient's suspected bone fracture.,0,0,0,0,0,1
An endoscopy was recommended to evaluate the patient's suspected stomach ulcer.,1,0,0,0,0,0
A colonoscopy was conducted to investigate the patient's colon polyps.,0,1,0,0,0,0
The patient required a lumbar puncture to test for possible meningitis.,0,0,1,0,0,0
An MRI was ordered to assess the patient's potential spinal cord injury.,0,0,0,1,0,0
The doctor recommended a PET scan to evaluate the patient's lung nodules.,0,0,0,0,1,0
An X-ray was performed to examine the patient's potential bone fracture.,0,0,0,0,0,1
The patient underwent an endoscopy to evaluate their suspected GERD.,1,0,0,0,0,0
A colonoscopy was conducted to assess the patient's Crohn's disease.,0,1,0,0,0,0
The patient's change in mental status led to a lumbar puncture recommendation.,0,0,1,0,0,0
An MRI was ordered to investigate the patient's potential brain tumor.,0,0,0,1,0,0
A PET scan was performed to evaluate the patient's suspected liver metastasis.,0,0,0,0,1,0
An X-ray was taken to assess the patient's suspected wrist fracture.,0,0,0,0,0,1
