,Priority,Affected Facility,Identification Source,Diagnosis_Day_Diff,Significance
1550,D,ad,Engineer,14,high
1551,A,ac,Project Management,31,low
1552,C,ad,Engineer,16,high
1553,B,ad,Engineer,21,medium
1554,A,aa,Project Management,52,low
1555,B,ab,Project Management,46,low
1556,B,ac,Maintenance,33,low
1557,B,ac,Maintenance,18,medium
1558,D,ad,Project Management,6,high
1559,B,ab,Engineer,29,medium
1560,C,ae,Project Management,15,high
1561,C,ab,Engineer,20,medium
1562,D,ae,Project Management,22,high
1563,A,aa,Project Management,39,low
1564,B,ad,Engineer,15,medium
1565,B,ac,Engineer,35,medium
1566,A,ab,Project Management,42,low
1567,B,ac,Project Management,45,low
1568,C,ad,Project Management,35,medium
1569,A,ac,Maintenance,52,low
1570,B,ab,Engineer,18,medium
1571,B,ac,Project Management,21,medium
1572,C,ac,Engineer,28,medium
1573,A,aa,Maintenance,33,low
1574,C,ad,Project Management,6,high
1575,A,ac,Project Management,39,low
1576,A,aa,Project Management,32,low
1577,C,ab,Engineer,31,medium
1578,C,ab,Engineer,25,medium
1579,B,ab,Project Management,34,low
1580,A,ab,Maintenance,48,low
1581,B,aa,Project Management,42,low
1582,B,ab,Project Management,31,low
1583,A,ac,Maintenance,42,low
1584,B,ab,Maintenance,19,medium
1585,B,aa,Maintenance,39,low
1586,D,ad,Project Management,8,high
1587,B,ad,Maintenance,28,medium
1588,B,ac,Maintenance,38,low
1589,C,ad,Project Management,25,medium
1590,B,ac,Maintenance,31,low
1591,B,ac,Maintenance,19,medium
1592,C,ac,Project Management,21,medium
1593,B,aa,Project Management,51,low
1594,B,aa,Project Management,50,low
1595,B,ab,Project Management,36,low
1596,B,ab,Maintenance,18,medium
1597,C,ac,Project Management,17,medium
1598,B,ab,Project Management,27,medium
1599,C,ac,Engineer,7,high
1600,B,ac,Engineer,30,medium
1601,D,ac,Project Management,3,high
1602,B,ab,Project Management,30,low
1603,C,ab,Project Management,29,medium
1604,B,ac,Maintenance,52,low
1605,B,ac,Maintenance,28,low
1606,B,ad,Project Management,20,medium
1607,C,ae,Engineer,16,high
1608,A,ab,Maintenance,29,low
1609,A,aa,Maintenance,39,low
1610,B,ab,Project Management,30,low
1611,B,ac,Project Management,51,low
1612,D,ae,Engineer,7,high
1613,A,ac,Project Management,33,low
1614,C,ad,Engineer,35,medium
1615,B,ab,Project Management,23,medium
1616,D,ac,Project Management,14,high
1617,B,ad,Project Management,21,medium
1618,B,ad,Project Management,29,medium
1619,C,ac,Project Management,16,high
1620,B,ac,Maintenance,31,low
1621,B,ad,Project Management,17,medium
1622,D,ad,Project Management,21,high
1623,B,ac,Maintenance,30,medium
1624,B,ab,Project Management,39,low
1625,D,ae,Project Management,5,high
1626,C,ad,Engineer,20,medium
1627,B,ac,Project Management,31,low
1628,B,ac,Maintenance,43,low
1629,D,ad,Project Management,9,high
1630,B,ad,Project Management,20,medium
1631,C,ab,Maintenance,25,medium
1632,D,ad,Project Management,18,high
1633,D,ac,Engineer,22,high
1634,B,ac,Project Management,34,low
1635,B,ac,Project Management,44,low
1636,D,ad,Project Management,11,high
1637,D,ad,Engineer,3,high
1638,A,aa,Maintenance,41,low
1639,C,ab,Engineer,20,medium
1640,A,ac,Maintenance,45,low
1641,C,ac,Engineer,10,high
1642,D,ad,Engineer,13,high
1643,C,ae,Project Management,21,high
1644,B,ac,Maintenance,35,low
1645,D,ad,Engineer,7,high
1646,D,ac,Engineer,18,high
1647,C,ab,Maintenance,18,medium
1648,D,ae,Project Management,4,high
1649,A,aa,Project Management,50,low
1650,C,ac,Project Management,14,high
1651,C,ae,Project Management,18,high
1652,A,aa,Maintenance,43,low
1653,D,ad,Engineer,21,high
1654,B,ac,Engineer,18,medium
1655,D,ad,Engineer,8,high
1656,C,ad,Project Management,19,medium
1657,D,ad,Engineer,4,high
1658,D,ae,Engineer,11,high
1659,B,ab,Engineer,24,medium
1660,A,aa,Maintenance,38,low
1661,D,ac,Engineer,21,high
1662,D,ae,Project Management,17,high
1663,C,ab,Engineer,23,medium
1664,A,ab,Project Management,35,low
1665,B,ac,Engineer,16,medium
1666,D,ac,Engineer,12,high
1667,C,ac,Project Management,3,high
1668,C,ad,Maintenance,28,medium
1669,A,ac,Project Management,43,low
1670,B,ac,Engineer,28,medium
1671,A,aa,Maintenance,35,low
1672,B,ac,Maintenance,27,medium
1673,D,ad,Project Management,14,high
1674,D,ad,Project Management,17,high
1675,D,ad,Engineer,5,high
1676,A,ac,Project Management,42,low
1677,A,aa,Maintenance,41,low
1678,C,ad,Project Management,8,high
1679,B,ad,Maintenance,30,medium
1680,B,ad,Maintenance,20,medium
1681,A,ab,Maintenance,28,low
1682,C,ad,Project Management,20,medium
1683,A,ac,Maintenance,29,low
1684,D,ad,Project Management,15,high
1685,C,ac,Project Management,17,high
1686,C,ab,Maintenance,22,medium
1687,B,ab,Maintenance,34,medium
1688,A,ab,Maintenance,39,low
1689,B,ac,Maintenance,27,medium
1690,B,ac,Engineer,23,medium
1691,B,ac,Maintenance,41,low
1692,B,ab,Engineer,17,medium
1693,B,aa,Project Management,35,low
1694,B,ab,Engineer,15,medium
1695,B,ab,Maintenance,49,low
1696,C,ae,Project Management,4,high
1697,C,ad,Engineer,18,high
1698,A,ac,Project Management,51,low
1699,C,ad,Project Management,12,high
1700,B,ab,Project Management,47,low
1701,C,ab,Project Management,27,medium
1702,B,ab,Engineer,21,medium
1703,B,ab,Project Management,39,low
1704,C,ae,Project Management,12,high
1705,C,ab,Maintenance,23,medium
1706,C,ad,Project Management,16,medium
1707,C,ae,Engineer,18,high
1708,B,ac,Maintenance,32,low
1709,C,ac,Maintenance,18,medium
1710,A,ac,Project Management,52,low
1711,C,ae,Project Management,17,high
1712,B,ac,Project Management,41,low
1713,A,ac,Maintenance,36,low
1714,B,ad,Project Management,28,medium
1715,C,ad,Engineer,19,high
1716,A,aa,Project Management,42,low
1717,A,ab,Maintenance,49,low
1718,B,aa,Maintenance,46,low
1719,A,ab,Maintenance,46,low
1720,C,ad,Project Management,10,high
1721,B,ab,Maintenance,22,medium
1722,C,ac,Engineer,14,high
1723,A,ab,Project Management,47,low
1724,B,ac,Maintenance,38,low
1725,C,ac,Engineer,16,medium
1726,A,ab,Project Management,31,low
1727,C,ae,Engineer,22,high
1728,C,ac,Maintenance,35,medium
1729,D,ae,Project Management,10,high
1730,C,ad,Maintenance,27,medium
1731,B,ac,Maintenance,30,medium
1732,C,ad,Project Management,11,high
1733,A,ab,Maintenance,31,low
1734,B,ac,Maintenance,20,medium
1735,C,ad,Project Management,7,high
1736,C,ab,Maintenance,22,medium
1737,B,aa,Project Management,46,low
1738,B,ac,Maintenance,28,low
1739,A,aa,Project Management,43,low
1740,B,ad,Maintenance,20,medium
1741,A,ab,Maintenance,37,low
1742,C,ae,Project Management,22,high
1743,C,ad,Project Management,3,high
1744,C,ad,Project Management,10,high
1745,C,ab,Engineer,25,medium
1746,C,ad,Engineer,7,high
1747,A,ab,Maintenance,46,low
1748,C,ac,Engineer,24,medium
1749,B,ac,Maintenance,23,medium
1750,D,ad,Engineer,21,high
1751,D,ad,Engineer,14,high
1752,C,ad,Project Management,22,medium
1753,D,ad,Engineer,12,high
1754,C,ab,Project Management,21,medium
1755,B,aa,Project Management,39,low
1756,C,ac,Maintenance,28,medium
1757,B,ab,Engineer,17,medium
1758,B,ac,Project Management,38,low
1759,D,ae,Project Management,22,high
1760,C,ab,Engineer,17,medium
1761,C,ad,Project Management,16,medium
1762,D,ae,Engineer,19,high
1763,B,ab,Maintenance,15,medium
1764,B,ac,Project Management,27,medium
1765,C,ac,Project Management,5,high
1766,B,ad,Project Management,30,medium
1767,C,ad,Project Management,26,medium
1768,C,ac,Project Management,21,medium
1769,D,ad,Engineer,4,high
1770,B,ab,Maintenance,34,low
1771,C,ac,Project Management,17,medium
1772,C,ab,Maintenance,17,medium
1773,B,ac,Project Management,32,medium
1774,C,ab,Maintenance,30,medium
1775,B,ac,Maintenance,51,low
1776,C,ad,Project Management,20,medium
1777,C,ab,Engineer,31,medium
1778,C,ac,Engineer,13,high
1779,A,ab,Project Management,40,low
1780,C,ad,Engineer,19,high
1781,A,aa,Maintenance,34,low
1782,D,ac,Project Management,10,high
1783,A,ab,Maintenance,31,low
1784,A,ab,Maintenance,40,low
1785,B,ad,Engineer,19,medium
1786,C,ad,Maintenance,31,medium
1787,A,ac,Project Management,35,low
1788,A,ac,Project Management,29,low
1789,A,ab,Project Management,33,low
1790,B,aa,Project Management,38,low
1791,D,ae,Project Management,12,high
1792,B,ac,Project Management,29,medium
1793,D,ae,Engineer,22,high
1794,A,ab,Project Management,36,low
1795,D,ae,Project Management,19,high
1796,A,ab,Project Management,36,low
1797,A,ac,Project Management,45,low
1798,B,ac,Project Management,16,medium
1799,C,ab,Maintenance,17,medium
1800,C,ae,Engineer,4,high
1801,C,ad,Project Management,18,high
1802,C,ac,Project Management,17,high
1803,B,ad,Engineer,21,medium
1804,C,ae,Engineer,4,high
1805,C,ac,Engineer,22,high
1806,D,ac,Project Management,14,high
1807,B,ac,Maintenance,52,low
1808,B,ab,Project Management,48,low
1809,C,ab,Maintenance,25,medium
1810,B,ad,Engineer,21,medium
1811,D,ae,Project Management,9,high
1812,A,aa,Project Management,44,low
1813,B,ac,Maintenance,35,medium
1814,A,ac,Maintenance,48,low
1815,B,ac,Maintenance,29,low
1816,B,ab,Maintenance,44,low
1817,A,aa,Maintenance,35,low
1818,B,ad,Maintenance,25,medium
1819,C,ae,Project Management,3,high
1820,D,ac,Engineer,17,high
1821,A,ab,Project Management,45,low
1822,C,ab,Project Management,30,medium
1823,B,aa,Maintenance,46,low
1824,B,aa,Maintenance,50,low
1825,B,ad,Engineer,29,medium
1826,A,ab,Project Management,40,low
1827,C,ac,Engineer,13,high
1828,A,ab,Maintenance,42,low
1829,C,ac,Engineer,20,medium
1830,B,ad,Engineer,30,medium
1831,B,ab,Project Management,16,medium
1832,A,ab,Maintenance,37,low
1833,C,ab,Maintenance,20,medium
1834,D,ae,Project Management,18,high
1835,A,ac,Project Management,42,low
1836,C,ad,Project Management,13,high
1837,B,aa,Maintenance,47,low
1838,C,ae,Project Management,10,high
1839,C,ad,Engineer,11,high
1840,B,ac,Project Management,44,low
1841,B,ac,Maintenance,29,low
1842,B,ad,Maintenance,19,medium
1843,C,ac,Engineer,15,medium
1844,D,ae,Engineer,19,high
1845,B,ad,Engineer,17,medium
1846,C,ad,Engineer,17,high
1847,B,ac,Maintenance,29,low
1848,B,ad,Maintenance,25,medium
1849,A,aa,Maintenance,39,low
1850,B,aa,Maintenance,28,low
1851,C,ab,Maintenance,33,medium
1852,C,ac,Engineer,21,medium
1853,A,aa,Project Management,36,low
1854,A,ac,Project Management,32,low
1855,C,ae,Project Management,5,high
1856,C,ad,Maintenance,35,medium
1857,C,ad,Project Management,5,high
1858,C,ad,Project Management,35,medium
1859,D,ae,Engineer,8,high
1860,B,ac,Project Management,46,low
1861,B,ad,Project Management,32,medium
1862,B,ab,Maintenance,28,low
1863,B,ad,Maintenance,30,medium
1864,D,ae,Project Management,11,high
1865,B,ab,Maintenance,48,low
1866,D,ac,Engineer,3,high
1867,A,ac,Project Management,50,low
1868,B,ac,Maintenance,34,medium
1869,C,ae,Engineer,4,high
1870,D,ae,Engineer,16,high
1871,C,ae,Engineer,13,high
1872,B,aa,Maintenance,31,low
1873,C,ad,Project Management,3,high
1874,A,aa,Maintenance,42,low
1875,B,ab,Project Management,34,medium
1876,B,ac,Project Management,16,medium
1877,C,ab,Engineer,23,medium
1878,C,ab,Project Management,25,medium
1879,C,ad,Engineer,21,high
1880,D,ad,Engineer,11,high
1881,B,ab,Maintenance,41,low
1882,B,ab,Project Management,45,low
1883,B,ad,Engineer,35,medium
1884,C,ad,Engineer,15,high
1885,C,ac,Project Management,11,high
1886,C,ad,Engineer,20,medium
1887,B,ac,Engineer,30,medium
1888,C,ad,Project Management,11,high
1889,C,ae,Project Management,15,high
1890,C,ac,Project Management,19,medium
1891,A,ac,Project Management,36,low
1892,A,aa,Maintenance,28,low
1893,B,aa,Maintenance,46,low
1894,C,ad,Engineer,28,medium
1895,A,ac,Maintenance,33,low
1896,B,ac,Project Management,35,low
1897,C,ad,Engineer,16,medium
1898,B,ab,Engineer,20,medium
1899,D,ae,Project Management,3,high
1900,A,ac,Project Management,31,low
1901,A,aa,Maintenance,46,low
1902,D,ae,Project Management,17,high
1903,B,aa,Maintenance,31,low
1904,B,aa,Maintenance,33,low
1905,D,ad,Engineer,13,high
1906,A,ac,Project Management,41,low
1907,B,aa,Project Management,52,low
1908,B,ac,Maintenance,29,medium
1909,C,ac,Engineer,12,high
1910,B,ac,Maintenance,28,low
1911,B,ac,Maintenance,25,medium
1912,C,ab,Project Management,28,medium
1913,B,ad,Engineer,19,medium
1914,A,ab,Maintenance,36,low
1915,C,ac,Project Management,8,high
1916,D,ae,Engineer,4,high
1917,C,ad,Engineer,21,medium
1918,D,ac,Engineer,21,high
1919,A,ab,Project Management,33,low
1920,A,ac,Project Management,52,low
1921,A,ab,Maintenance,32,low
1922,C,ab,Engineer,17,medium
1923,A,ac,Project Management,49,low
1924,A,ab,Project Management,41,low
1925,B,ac,Maintenance,44,low
1926,C,ac,Project Management,22,medium
1927,B,ac,Maintenance,27,medium
1928,C,ad,Engineer,9,high
1929,D,ad,Engineer,17,high
1930,C,ad,Maintenance,17,medium
1931,B,ac,Maintenance,47,low
1932,A,aa,Maintenance,36,low
1933,A,ab,Project Management,46,low
1934,A,aa,Maintenance,46,low
1935,B,ab,Project Management,31,medium
1936,D,ae,Engineer,5,high
1937,B,ab,Project Management,45,low
1938,B,ac,Maintenance,28,low
1939,C,ad,Engineer,26,medium
1940,C,ac,Project Management,10,high
1941,B,ad,Project Management,30,medium
1942,A,ac,Project Management,33,low
1943,C,ac,Engineer,13,high
1944,A,ac,Project Management,50,low
1945,A,aa,Maintenance,44,low
1946,C,ae,Project Management,4,high
1947,A,ac,Project Management,32,low
1948,A,aa,Project Management,41,low
1949,B,ab,Maintenance,29,medium
1950,C,ad,Engineer,3,high
1951,C,ae,Project Management,8,high
1952,C,ab,Project Management,27,medium
1953,D,ac,Engineer,14,high
1954,A,ab,Maintenance,46,low
1955,C,ad,Maintenance,32,medium
1956,B,aa,Maintenance,30,low
1957,C,ad,Engineer,19,medium
1958,B,ac,Project Management,17,medium
1959,A,ac,Maintenance,35,low
1960,B,ad,Maintenance,17,medium
1961,A,aa,Project Management,31,low
1962,C,ad,Engineer,22,high
1963,C,ac,Engineer,22,high
1964,A,ac,Project Management,32,low
1965,B,ab,Maintenance,52,low
1966,C,ac,Engineer,35,medium
1967,B,ab,Engineer,18,medium
1968,C,ad,Project Management,10,high
1969,B,ac,Engineer,26,medium
1970,C,ac,Engineer,13,high
1971,C,ad,Maintenance,35,medium
1972,B,ac,Project Management,45,low
1973,A,ac,Project Management,48,low
1974,D,ac,Project Management,13,high
1975,C,ac,Project Management,19,medium
1976,B,ab,Project Management,16,medium
1977,C,ac,Engineer,15,high
1978,B,ab,Project Management,30,medium
1979,B,ad,Project Management,30,medium
1980,D,ae,Project Management,11,high
1981,C,ad,Engineer,18,medium
1982,A,ab,Maintenance,34,low
1983,C,ab,Maintenance,15,medium
1984,D,ad,Project Management,8,high
1985,C,ac,Project Management,29,medium
1986,A,ac,Project Management,41,low
1987,D,ae,Project Management,6,high
1988,D,ac,Engineer,15,high
1989,D,ae,Project Management,7,high
1990,C,ac,Project Management,13,high
1991,C,ad,Project Management,17,high
1992,C,ab,Maintenance,18,medium
1993,C,ad,Engineer,17,high
1994,C,ad,Project Management,29,medium
1995,B,ab,Maintenance,37,low
1996,C,ac,Engineer,7,high
1997,C,ad,Engineer,10,high
1998,D,ae,Project Management,11,high
1999,C,ac,Engineer,7,high
2000,B,ac,Project Management,35,medium
2001,A,ac,Maintenance,31,low
2002,B,ab,Maintenance,52,low
2003,B,ac,Project Management,35,low
2004,D,ad,Engineer,12,high
2005,B,ad,Project Management,30,medium
2006,C,ad,Project Management,20,medium
2007,A,ac,Project Management,44,low
2008,B,ac,Project Management,48,low
2009,C,ab,Project Management,27,medium
2010,D,ad,Engineer,18,high
2011,D,ae,Project Management,3,high
2012,C,ad,Maintenance,17,medium
2013,C,ab,Maintenance,16,medium
2014,B,ac,Maintenance,48,low
2015,B,ad,Engineer,20,medium
2016,C,ae,Engineer,19,high
2017,C,ad,Project Management,23,medium
2018,C,ad,Engineer,28,medium
2019,C,ac,Project Management,24,medium
2020,A,aa,Project Management,30,low
2021,C,ad,Engineer,9,high
2022,B,aa,Maintenance,40,low
2023,C,ad,Engineer,4,high
2024,C,ab,Maintenance,25,medium
2025,A,ac,Maintenance,28,low
2026,B,aa,Project Management,32,low
2027,B,ac,Maintenance,47,low
2028,B,ac,Project Management,21,medium
2029,B,ac,Maintenance,15,medium
2030,B,ac,Maintenance,33,medium
2031,C,ab,Engineer,22,medium
2032,A,ac,Maintenance,35,low
2033,A,ac,Project Management,34,low
2034,B,ac,Maintenance,28,low
2035,C,ae,Project Management,6,high
2036,B,ab,Engineer,29,medium
2037,A,ab,Maintenance,45,low
2038,C,ac,Maintenance,21,medium
2039,C,ab,Maintenance,21,medium
2040,A,ab,Maintenance,49,low
2041,A,aa,Maintenance,37,low
2042,B,ab,Project Management,33,low
2043,B,ab,Engineer,17,medium
2044,A,ab,Maintenance,44,low
2045,C,ad,Project Management,4,high
2046,A,ab,Maintenance,37,low
2047,B,ac,Project Management,19,medium
2048,B,ab,Maintenance,25,medium
2049,B,ad,Maintenance,32,medium
2050,B,ac,Project Management,37,low
2051,B,ac,Project Management,19,medium
2052,A,ab,Maintenance,41,low
2053,C,ac,Project Management,17,medium
2054,B,ac,Project Management,27,medium
2055,B,ab,Engineer,17,medium
2056,D,ac,Engineer,22,high
2057,A,ab,Maintenance,40,low
2058,C,ae,Project Management,4,high
2059,D,ad,Project Management,14,high
2060,B,ac,Maintenance,30,medium
2061,B,ad,Maintenance,23,medium
2062,B,aa,Maintenance,43,low
2063,C,ae,Project Management,4,high
2064,B,ab,Project Management,36,low
2065,C,ac,Maintenance,28,medium
2066,A,aa,Maintenance,44,low
2067,C,ae,Engineer,22,high
2068,B,aa,Maintenance,46,low
2069,B,ac,Maintenance,45,low
2070,C,ad,Project Management,27,medium
2071,B,ad,Project Management,29,medium
2072,A,ab,Project Management,40,low
2073,B,aa,Project Management,48,low
2074,C,ab,Project Management,20,medium
2075,C,ad,Engineer,8,high
2076,C,ab,Project Management,16,medium
2077,B,ad,Project Management,27,medium
2078,B,ac,Project Management,32,low
2079,B,aa,Maintenance,51,low
2080,C,ad,Maintenance,35,medium
2081,B,ad,Engineer,23,medium
2082,C,ae,Project Management,20,high
2083,D,ad,Engineer,10,high
2084,D,ac,Project Management,3,high
2085,C,ad,Engineer,33,medium
2086,D,ae,Project Management,16,high
2087,C,ab,Engineer,23,medium
2088,C,ad,Project Management,22,high
2089,D,ac,Engineer,4,high
2090,A,ac,Project Management,34,low
2091,D,ad,Engineer,16,high
2092,D,ad,Project Management,5,high
2093,C,ac,Project Management,21,high
2094,B,ad,Project Management,18,medium
2095,B,ad,Engineer,34,medium
2096,A,aa,Maintenance,32,low
2097,C,ac,Engineer,31,medium
2098,C,ac,Engineer,26,medium
2099,B,ac,Maintenance,33,low
2100,C,ac,Engineer,11,high
2101,B,ab,Maintenance,34,low
2102,C,ad,Project Management,14,high
2103,C,ab,Engineer,25,medium
2104,A,aa,Maintenance,47,low
2105,C,ad,Engineer,18,medium
2106,D,ad,Project Management,8,high
2107,C,ac,Project Management,21,high
2108,B,ad,Maintenance,26,medium
2109,D,ad,Engineer,19,high
2110,C,ae,Project Management,16,high
2111,B,aa,Maintenance,51,low
2112,B,aa,Maintenance,50,low
2113,C,ae,Engineer,11,high
2114,C,ae,Project Management,3,high
2115,A,ab,Maintenance,29,low
2116,B,aa,Maintenance,31,low
2117,C,ab,Engineer,27,medium
2118,C,ad,Project Management,7,high
2119,D,ae,Engineer,17,high
2120,B,ac,Engineer,28,medium
2121,D,ac,Project Management,17,high
2122,A,aa,Maintenance,31,low
2123,B,ac,Project Management,34,low
2124,B,ab,Project Management,23,medium
2125,C,ab,Engineer,15,medium
2126,D,ae,Engineer,7,high
2127,B,ad,Maintenance,20,medium
2128,C,ad,Engineer,21,high
2129,B,ad,Engineer,16,medium
2130,B,ad,Project Management,32,medium
2131,C,ae,Engineer,18,high
2132,C,ab,Maintenance,28,medium
2133,B,ab,Maintenance,17,medium
2134,B,aa,Maintenance,50,low
2135,A,ab,Project Management,51,low
2136,C,ac,Project Management,22,medium
2137,C,ac,Engineer,3,high
2138,C,ad,Maintenance,21,medium
2139,A,aa,Project Management,50,low
2140,C,ab,Engineer,35,medium
2141,D,ae,Engineer,19,high
2142,C,ad,Maintenance,19,medium
2143,D,ac,Engineer,11,high
2144,A,ab,Project Management,50,low
2145,C,ad,Project Management,8,high
2146,D,ad,Project Management,14,high
2147,D,ac,Project Management,9,high
2148,C,ad,Engineer,13,high
2149,D,ac,Project Management,11,high
2150,B,ab,Project Management,15,medium
2151,A,aa,Project Management,47,low
2152,A,ab,Maintenance,36,low
2153,D,ae,Project Management,16,high
2154,B,ac,Project Management,33,medium
2155,D,ad,Engineer,21,high
2156,B,ac,Project Management,21,medium
2157,D,ae,Engineer,15,high
2158,C,ac,Engineer,28,medium
2159,D,ae,Engineer,5,high
2160,D,ac,Engineer,13,high
2161,D,ac,Engineer,21,high
2162,A,ab,Project Management,31,low
2163,A,ac,Project Management,33,low
2164,D,ac,Project Management,7,high
2165,B,ac,Maintenance,24,medium
2166,B,ad,Project Management,29,medium
2167,D,ac,Engineer,7,high
2168,B,ac,Project Management,48,low
2169,B,ad,Maintenance,29,medium
2170,B,ac,Project Management,36,low
2171,B,ac,Maintenance,34,low
2172,D,ad,Engineer,5,high
2173,D,ad,Project Management,22,high
2174,C,ae,Project Management,15,high
2175,A,aa,Project Management,49,low
2176,D,ac,Engineer,11,high
2177,C,ad,Maintenance,27,medium
2178,B,aa,Project Management,34,low
2179,C,ac,Project Management,19,high
2180,B,ab,Project Management,31,medium
2181,D,ae,Project Management,15,high
2182,C,ac,Engineer,9,high
2183,C,ac,Maintenance,22,medium
2184,B,aa,Maintenance,29,low
2185,A,ab,Project Management,31,low
2186,C,ae,Project Management,8,high
2187,C,ae,Engineer,15,high
2188,B,ac,Maintenance,52,low
2189,B,aa,Maintenance,31,low
2190,A,ab,Project Management,39,low
2191,A,ac,Project Management,49,low
2192,B,aa,Project Management,43,low
2193,D,ae,Engineer,13,high
2194,B,ac,Engineer,19,medium
2195,D,ac,Engineer,9,high
2196,B,aa,Maintenance,43,low
2197,A,ac,Project Management,39,low
2198,C,ad,Maintenance,17,medium
2199,C,ac,Project Management,17,high
2200,D,ae,Engineer,10,high
2201,D,ad,Project Management,17,high
2202,B,ac,Maintenance,17,medium
2203,D,ad,Engineer,18,high
2204,C,ac,Engineer,32,medium
2205,B,ac,Project Management,51,low
2206,C,ad,Engineer,21,medium
2207,C,ab,Project Management,24,medium
2208,C,ae,Engineer,8,high
2209,C,ad,Engineer,31,medium
2210,C,ab,Project Management,35,medium
2211,D,ae,Engineer,6,high
2212,D,ae,Engineer,14,high
2213,A,ac,Maintenance,40,low
2214,C,ad,Engineer,18,medium
2215,B,ac,Maintenance,41,low
2216,B,ad,Engineer,24,medium
2217,B,ab,Maintenance,49,low
2218,B,ac,Project Management,35,medium
2219,B,aa,Maintenance,36,low
2220,D,ad,Project Management,5,high
2221,B,ac,Maintenance,31,medium
2222,C,ad,Project Management,33,medium
2223,B,ad,Maintenance,17,medium
2224,A,ac,Project Management,40,low
2225,B,ab,Project Management,40,low
2226,B,aa,Project Management,52,low
2227,C,ae,Project Management,6,high
2228,C,ad,Project Management,35,medium
2229,A,aa,Maintenance,42,low
2230,D,ae,Engineer,14,high
2231,B,ac,Project Management,43,low
2232,C,ac,Engineer,6,high
2233,B,ab,Project Management,25,medium
2234,D,ac,Engineer,14,high
2235,A,ab,Project Management,36,low
2236,C,ae,Project Management,3,high
2237,B,ac,Project Management,44,low
2238,C,ac,Project Management,16,high
2239,B,aa,Maintenance,48,low
2240,A,ac,Maintenance,41,low
2241,C,ac,Project Management,5,high
2242,C,ad,Maintenance,22,medium
2243,B,ab,Maintenance,40,low
2244,B,aa,Project Management,34,low
2245,A,ab,Maintenance,48,low
2246,B,ad,Maintenance,18,medium
2247,C,ab,Maintenance,24,medium
2248,B,ab,Maintenance,22,medium
2249,C,ac,Project Management,8,high
2250,D,ae,Engineer,9,high
2251,B,ad,Engineer,20,medium
2252,D,ac,Project Management,15,high
2253,C,ad,Engineer,20,medium
2254,A,aa,Maintenance,46,low
2255,B,aa,Maintenance,45,low
2256,C,ab,Project Management,26,medium
2257,C,ac,Engineer,21,high
2258,D,ae,Engineer,8,high
2259,B,ab,Project Management,41,low
2260,C,ae,Engineer,17,high
2261,D,ad,Project Management,14,high
2262,C,ad,Project Management,18,high
2263,C,ad,Engineer,33,medium
2264,C,ad,Maintenance,17,medium
2265,A,aa,Project Management,28,low
2266,D,ad,Engineer,12,high
2267,C,ac,Project Management,19,high
2268,B,aa,Maintenance,47,low
2269,A,ac,Project Management,39,low
2270,B,ac,Maintenance,38,low
2271,A,aa,Maintenance,46,low
2272,A,ab,Project Management,28,low
2273,C,ad,Maintenance,15,medium
2274,B,aa,Maintenance,32,low
2275,C,ae,Project Management,6,high
2276,D,ac,Engineer,20,high
2277,B,ab,Engineer,26,medium
2278,C,ac,Engineer,20,medium
2279,B,ab,Maintenance,27,medium
2280,D,ae,Project Management,10,high
2281,C,ac,Project Management,22,medium
2282,C,ad,Project Management,23,medium
2283,D,ad,Engineer,15,high
2284,B,ab,Project Management,52,low
2285,B,aa,Maintenance,40,low
2286,A,aa,Project Management,29,low
2287,D,ad,Project Management,21,high
2288,A,aa,Project Management,35,low
2289,B,ab,Project Management,43,low
2290,C,ac,Engineer,23,medium
2291,B,ac,Engineer,23,medium
2292,D,ac,Project Management,18,high
2293,B,ad,Maintenance,28,medium
2294,B,ac,Engineer,23,medium
2295,B,ac,Maintenance,34,low
2296,A,ab,Maintenance,48,low
2297,B,ab,Maintenance,34,low
2298,B,aa,Project Management,48,low
2299,A,ab,Maintenance,47,low
2300,C,ad,Project Management,11,high
2301,A,ac,Maintenance,30,low
2302,C,ae,Engineer,7,high
2303,B,aa,Maintenance,46,low
2304,A,ac,Project Management,45,low
2305,A,ab,Maintenance,34,low
2306,D,ac,Engineer,5,high
2307,C,ad,Engineer,14,high
2308,B,aa,Project Management,30,low
2309,B,ac,Project Management,32,low
2310,C,ad,Project Management,28,medium
2311,C,ae,Engineer,12,high
2312,B,aa,Maintenance,32,low
2313,B,ac,Project Management,25,medium
2314,C,ab,Project Management,21,medium
2315,A,ac,Maintenance,49,low
2316,B,ac,Maintenance,16,medium
2317,C,ab,Engineer,23,medium
2318,B,ad,Maintenance,22,medium
2319,B,ab,Maintenance,50,low
2320,C,ad,Maintenance,16,medium
2321,D,ad,Engineer,11,high
2322,D,ae,Project Management,6,high
2323,D,ac,Project Management,12,high
2324,D,ae,Project Management,19,high
2325,C,ad,Engineer,25,medium
2326,C,ae,Engineer,12,high
2327,B,ad,Project Management,20,medium
2328,D,ae,Engineer,15,high
2329,C,ae,Project Management,18,high
2330,C,ae,Project Management,18,high
2331,C,ad,Project Management,19,high
2332,B,ab,Project Management,18,medium
2333,D,ad,Project Management,8,high
2334,B,ad,Project Management,23,medium
2335,A,ac,Maintenance,46,low
2336,D,ae,Project Management,4,high
2337,C,ad,Maintenance,17,medium
2338,C,ac,Project Management,27,medium
2339,B,ab,Maintenance,16,medium
2340,B,ad,Engineer,35,medium
